
权限说明	权限名称
 系统后台(必须)	Admin/Index/index
 控制台	Admin/Index/welcome
 排行	Admin/Data/kf_order
 扫码页	Admin/Index/barcode
 asd	asdasd
 信息列表(必须)	Admin/List/index
 允许回访客户	huif_info
 允许回访TA人客户	huif_oth
 允许查看客户信息	show_info
 允许查看TA人登记信息	show_oth
 允许查看客户完整电话	show_tell
 允许确认已到状态	checkinfo
 允许更改除确认外状态	status_oth
 允许设置客户接诊医生	ok_doc
 允许新增客户信息	add_info
 允许使用TA人名义登记	writer_oth
 允许编辑客户信息	edit_info
 允许编辑TA人登记信息	edit_oth
 允许访问回收站	Admin/List/recycling
 允许将客户移至回收站	del_info
 允许从回收站还原客户	reduction
 允许使用导出EXCEL功能	Admin/List/toexcel
 客户信息编辑查看操作	Admin/Posts/edit_info
 允许修改客户姓名/年龄/性别	edit_name
 允许修改补充客户消费情况	edit_money
 允许修改客户预约日期	edit_pubdate
 允许修改客户联系电话	edit_tell
 允许修改客户预约备注	edit_content
 允许修改客户预约医院	edit_typeid
 允许修改客户渠道来源	edit_flag
 允许修改客户咨询方式	edit_zxfs
 允许修改客户预约病种	edit_dise
 允许修改客户预约医生	edit_doc
 允许修改客户QQ微信	edit_tencent
 允许修改客户所在地址	edit_area
 允许修改客户来源网站	edit_url
 允许修改客户来源页面	edit_lurl
 允许修改客户转化页面	edit_okurl
 允许修改客户搜索关键词	edit_key
 允许修改客户对话信息	edit_body
 允许修改客户确认时间	edit_okdate
 数据中心	Admin/ShowNav/Data
 图形数据	Admin/Data/echart
 分组数据	Admin/Data/group
 客服数据	Admin/Data/group_mid
 病种数据	Admin/Data/group_disease
 医院数据	Admin/Data/group_typeid
 渠道数据	Admin/Data/group_flag
 区域数据	Admin/Data/group_city
 绩效数据(文本)	Admin/Report/index
 客服数据	Admin/Report/rp_kf
 病种数据	Admin/Report/rp_disease
 渠道数据	Admin/Report/rp_media
 医生数据	Admin/Report/rp_doctor
 状态数据	Admin/Report/rp_status
 医院数据	Admin/Report/rp_type
 绩效视图(图形)	Admin/Reports/index
 客服视图	Admin/Reports/rp_kf
 病种视图	Admin/Reports/rp_disease
 渠道视图	Admin/Reports/rp_media
 医生视图	Admin/Reports/rp_doctor
 状态视图	Admin/Reports/rp_status
 医院视图	Admin/Reports/rp_type
 附加功能	Admin/Public/ShowNav
 短信功能	Admin/Posts/SMS
 允许发送批量短信	all_sms
 允许发送单条短信	post_sms
 个人中心	Admin/User/me
 允许上传头像	Admin/User/upload_img
 任务	task
 访问任务清单权限	task_list
 访问已分配清单权限	task_ok
 分配任务权限	task_assigns
 信息管理	Admin/ShowNav/info
 医院管理	Admin/Hospital/index
 新增	Admin/Hospital/add_hospital
 删除	Admin/Hospital/delet
 病种科室	Admin/Disease/index
 新增	Admin/Disease/add_disease
 删除	Admin/Disease/delet
 医生管理	Admin/Doctor/index
 新增	Admin/Doctor/add_doctor
 删除	Admin/Doctor/delet
 编辑详情	Admin/Doctor/edit_doctor
 来源渠道	Admin/Flag/index
 新增	Admin/Flag/add_flag
 删除	Admin/Flag/delet
 咨询方式	Admin/Zxtype/index
 新增	Admin/Zxtype/add_zxfs
 删除	Admin/Zxtype/delet
 前台	Admin/ShowNav/http
 前台放号设置	Admin/Http/doc_eog
 排号放号	Admin/Http/all_onnum
 停号关号	Admin/Http/all_offnum
 清空排号	Admin/Http/del_time
